"1";"1";"find bill ."
"1";"2";"write check for specific bill ."
"1";"3";"put bill in envelope with bill stub ."
"1";"4";"seal envelope ."
"1";"5";"stamp envelope ."
"1";"6";"mail envelope ."
"2";"1";"for each bill ."
"2";"2";"write check and account number ."
"2";"3";"put check in envelope along with bill stub ."
"2";"4";"next bill ."
"3";"1";"gather bills to be paid ."
"3";"2";"logon to online banking site ."
"3";"3";"input amounts to be paid to debtors ."
"3";"4";"disburse funds to debtors from bank account ."
"4";"1";"locate the bills to pay ."
"4";"2";"log on to bill payment website ."
"4";"3";"enter total amount due to each debtor ."
"4";"4";"disburse funds to pay debtors ."
"5";"1";"determine cost of one bill ."
"5";"2";"write check in the amount of this bill ."
"5";"3";"put check into envelope ."
"5";"4";"close envelope ."
"5";"5";"put stamp on envelope ."
"5";"6";"address envelope to bill s creditor ."
"5";"7";"repeat with each other bill ."
"6";"1";"look at bills ."
"6";"2";"write check for amount on bill ."
"6";"3";"place check in envelope provided ."
"6";"4";"if necessary add a stamp to the envelope ."
"6";"5";"place envelope in mail box ."
"7";"1";"locate bill ."
"7";"2";"locate money ."
"7";"3";"take bill to post office ."
"7";"4";"give teller bill and money ."
"7";"5";"take the reciept ."
"8";"1";"open bills ."
"8";"2";"write checks ."
"8";"3";"stuff envelopes ."
"8";"4";"mail bills ."
"9";"1";"find a bill ."
"9";"2";"find the amount owed ."
"9";"3";"write a check for the amount owed ."
"9";"4";"sign the check ."
"9";"5";"put the check in an envelope ."
"9";"6";"stamp and address the envelope ."
"9";"7";"mail the envelope ."
"10";"1";"make a check ."
"10";"2";"write the payees name ."
"10";"3";"write the date ."
"10";"4";"write the amount ."
"10";"5";"and mail ."
"11";"1";"go to website ."
"11";"2";"log in ."
"11";"3";"authorize payment ."
"12";"1";"gather bill notices ."
"12";"2";"log on to bank website ."
"12";"3";"select online bill pay section ."
"12";"4";"find payor that matches bill ."
"12";"5";"put amount in payor website ."
"12";"6";"select ok or complete ."
"13";"1";"organize bills ."
"13";"2";"write checks for bills ."
"13";"3";"put bills in envelopes ."
"13";"4";"stamp envelopes ."
"13";"5";"put envelopes in mailbox ."
"14";"1";"open bill ."
"14";"2";"note the amount ."
"14";"3";"get checkbook and pen ."
"14";"4";"write check for amount of bill ."
"14";"5";"put ckeck into envelope ."
"14";"6";"put postage stamp on envelope ."
"14";"7";"put envelope in mailbox ."
"15";"1";"identify bills that need to be paid ."
"15";"2";"go to the bank with the account you pay bills with ."
"15";"3";"select either 4 or 5 ."
"15";"4";"go to the teller and pay your bill ."
"15";"5";"go to the atm machine and pay from your account ."
"16";"1";"open letter ."
"16";"2";"check due date ."
"16";"3";"go to online banking ."
"16";"4";"click 'pay bills' ."
"16";"5";"input amount due ."
"16";"6";"send/transfer money ."
"16";"7";"paid bill ."
