"1";"1";"go to trashcan ."
"1";"2";"dump the trash ."
"2";"1";"pick up the object ."
"2";"2";"locate the trash can ."
"2";"3";"place the object in the trash can ."
"3";"1";"take object to trash can ."
"4";"1";"take the object ."
"4";"2";"go the trashcan ."
"4";"3";"dump the object in the trashcan ."
"5";"1";"take object to garbage bin ."
"5";"2";"put object inside bin ."
"6";"1";"locate the object ."
"6";"2";"take the object ."
"6";"3";"put the object into the trash can ."
"7";"1";"take the object ."
"7";"2";"locate the trash can ."
"7";"3";"put the object into the trash can ."
"8";"1";"grab object ."
"8";"2";"take object to trash can ."
"8";"3";"dump object into trash can ."
"9";"1";"pick the object up ."
"9";"2";"locate the trash can ."
"9";"3";"take the object to the trash can ."
"9";"4";"put the object in the trash can ."
"10";"1";"pick up the object ."
"10";"2";"take the object to the trash bin ."
"10";"3";"place object into the trash bin ."
"10";"4";"close the trash bin ."
"11";"1";"locate object to trash ."
"11";"2";"locate a dumpster or trash receptacle ."
"11";"3";"place object in the trash receptacle ."
"12";"1";"pick up object ."
"12";"2";"locate trash can ."
"12";"3";"place object in trash can ."
"13";"1";"pick up object ."
"13";"2";"go to trash can ."
"13";"3";"open trash can lid ."
"13";"4";"place object in trash can ."
"13";"5";"close trash can lid ."
"14";"1";"get object ."
"14";"2";"take object to garbage ."
"14";"3";"put object in garbage ."
"15";"1";"put the object inside the trash can ."
"16";"1";"pick up the object ."
"16";"2";"put it in a trash ."
"17";"1";"grasp object ."
"17";"2";"pick up object ."
"17";"3";"carry object to trash can ."
"17";"4";"position object over trash can ."
"17";"5";"release object into trash can ."
"18";"1";"throw it in waste basket ."
"19";"1";"select object to trash ."
"19";"2";"find trash can ."
"19";"3";"open trash can ."
"19";"4";"throw the object in the trash can ."
"20";"1";"pick up object ."
"21";"1";"pick up object ."
"21";"2";"place in trash ."
"22";"1";"put object in trash can ."
"23";"1";"put object in trash can ."
"24";"1";"put object in trash can ."
"25";"1";"put object in trash can ."
"26";"1";"put object in trash can ."
"27";"1";"pick up the object ."
"27";"2";"put it in a trash can ."
"28";"1";"find the object ."
"28";"2";"trash it ."
"29";"1";"pick up object ."
"29";"2";"walk to trash can ."
"29";"3";"open trash can ."
"29";"4";"toss item into trash can ."
"29";"5";"close trash can ."
"30";"1";"pick up ."
"30";"2";"throw ."
"30";"3";"*falls in trash can* ."
"31";"1";"take object to garbage ."
"31";"2";"toss object into garbage can ."
"32";"1";"take object to garbage ."
"32";"2";"toss object into garbage can ."
"33";"1";"take object to garbage ."
"33";"2";"toss object into garbage can ."
"34";"1";"take object to garbage ."
"34";"2";"toss object into garbage can ."
"35";"1";"take object to garbage ."
"35";"2";"toss object into garbage can ."
"36";"1";"throw it in the garbage can ."
"37";"1";"throw it in the garbage can ."
"38";"1";"throw it in the garbage can ."
"39";"1";"throw it in the garbage can ."
"40";"1";"throw it in the garbage can ."
"41";"1";"throw it in the garbage can ."
"42";"1";"throw it in the garbage can ."
"43";"1";"throw it in the garbage can ."
"44";"1";"throw it in the garbage can ."
"45";"1";"take object ."
"45";"2";"dump object ."
"46";"1";"take object ."
"46";"2";"dump object ."
"47";"1";"take object ."
"47";"2";"dump object ."
"48";"1";"take object ."
"48";"2";"dump object ."
"49";"1";"take object ."
"49";"2";"dump object ."
"50";"1";"take object ."
"50";"2";"dump object ."
"51";"1";"crumple object up into as small a bundle as possible ."
"51";"2";"throw object into the garbage can ."
"52";"1";"crumple object up into as small a bundle as possible ."
"52";"2";"throw object into the garbage can ."
"53";"1";"crumple object up into as small a bundle as possible ."
"53";"2";"throw object into the garbage can ."
"54";"1";"take out garbage ."
"55";"1";"dump item ."
"56";"1";"pick up object ."
"56";"2";"remove any pieces or items from the object that one wishes to retain ."
"56";"3";"crumple or fold object as much as possible to decrease its size ."
"56";"4";"put object in the trashcan or if too large a dumpster ."
"57";"1";"pick up object ."
"57";"2";"remove any pieces or items from the object that one wishes to retain ."
"57";"3";"crumple or fold object as much as possible to decrease its size ."
"57";"4";"put object in the trashcan or if too large a dumpster ."
"58";"1";"pick up object ."
"58";"2";"remove any pieces or items from the object that one wishes to retain ."
"58";"3";"crumple or fold object as much as possible to decrease its size ."
"58";"4";"put object in the trashcan or if too large a dumpster ."
"59";"1";"take object put in bag ."
"59";"2";"put outside ."
