file_id	score
driving_lesson_GOOD.xml.13	0.111434787594
check_for_intruders_in_the_house.xml.18	0.109321313376
going to the theater.new.xml.47	0.101575015992
playing tennis.new.xml.10	0.097754916847
repairing a flat bicycle tire.new.xml.72	0.0947665009938
having a barbecue.new.xml.46	0.0932921344718
going grocery shopping.new.xml.14	0.0920699034272
throw_an_object.xml.27	0.0896745092237
take_out_the_garbage.xml.1	0.0894873928456
borrowing a book from the library.pilot.xml.3	0.0891817280279
gather_all_scattered_toys.xml.12	0.0889762735495
taking a driving lesson.new.xml.91	0.0889252569045
turn_the_air_conditioner_off.xml.46	0.0888358794721
going bowling.new.xml.19	0.0883146660524
set_the_dining_table.xml.4	0.0864662871521
find_the_time.xml.10	0.0862310877205
trash_an_object.xml.36	0.0859679418175
trash_an_object.xml.37	0.0859679418175
trash_an_object.xml.38	0.0859679418175
trash_an_object.xml.39	0.0859679418175
trash_an_object.xml.40	0.0859679418175
trash_an_object.xml.41	0.0859679418175
trash_an_object.xml.42	0.0859679418175
trash_an_object.xml.43	0.0859679418175
trash_an_object.xml.44	0.0859679418175
playing tennis.new.xml.20	0.085710401151
playing tennis.new.xml.17	0.085048031498
taking a shower.new.xml.32	0.0849258025617
entertain_children.xml.6	0.0845646147938
sending food back (in a restaurant).new.xml.69	0.0844289956217
driving_lesson_GOOD.xml.9	0.0838788086241
going bowling.new.xml.65	0.0831821013424
playing tennis.new.xml.88	0.0815601617366
take_bus_filtered.xml.3	0.0813642813003
remove_and_replace_garbage_bag.xml.2	0.0810065330712
take_out_the_garbage.xml.45	0.0807621924546
dance_with_the_children.xml.13	0.0807485873885
playing tennis.new.xml.11	0.0807444356968
make_a_list.xml.5	0.0806546779064
turn_the_air_conditioner_off.xml.47	0.0805625682562
clean_up.xml.10	0.0804018047042
iron_filtered.xml.19	0.0803131218703
remove_and_replace_garbage_bag.xml.21	0.0800405451666
remove_and_replace_garbage_bag.xml.22	0.0800405451666
remove_and_replace_garbage_bag.xml.23	0.0800405451666
remove_and_replace_garbage_bag.xml.24	0.0800405451666
remove_and_replace_garbage_bag.xml.25	0.0800405451666
remove_and_replace_garbage_bag.xml.26	0.0800405451666
washing one's hair.new.xml.21	0.0799519891352
going to the theater.new.xml.67	0.0791680418496
haircut_filtered.xml.22	0.079129878472
getting a hair cut.new.xml.93	0.0790494421384
throw_an_object.xml.28	0.0789779421506
